radionuclide,fit_method,material,parameter_name,value
Ga68 (pt),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.092
Ga68 (vial),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.134
GeGa (Gen),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0
I123,Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.0416
I131 (pt),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.0574
I131 (vial),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.067
In111,Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.0831
Lu177,Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.0047
MoTc (Gen),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,#REF!
Sm153,Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.0122
Tc99m (pt),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.0161
Tc99m (vial),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.021
Tl201 (pt),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.01129
Tl201 (vial),Dose Rate Constant,"uSv.m^2/MBq.hr [2,4,5]",DRC,0.016
